Model,Accuracy,Precision,Recall,F1
base:gpt-3.5-turbo-1106,0.5483,0.553,0.5483,0.5467
base:llama-2-70b-chat,0.5086,0.5029,0.5086,0.5038
ft:gpt-3.5-turbo-1106 (100%),0.6424,0.6416,0.6424,0.6409
ft:llama-2-70b-chat (100%),0.6185,0.6162,0.6185,0.6147
ft:bert-adam (100%),0.5881,0.5881,0.5881,0.5871
ft:bert-adamw (100%),0.5841,0.5921,0.5841,0.5766
ft:bert-sgd (100%),0.2225,0.0706,0.2225,0.0888
ft:roberta-adam (100%),0.6066,0.6157,0.6066,0.6017
ft:roberta-adamw (100%),0.5536,0.5951,0.5536,0.5325
ft:roberta-sgd (100%),0.2225,0.0495,0.2225,0.081
ft:gpt-3.5-turbo-1106 (50%),0.6212,0.6207,0.6212,0.6197
ft:llama-2-70b-chat (50%),0.604,0.6009,0.604,0.5997
ft:bert-adam (50%),0.5523,0.5575,0.5523,0.5532
ft:bert-adamw (50%),0.5775,0.5741,0.5775,0.5736
ft:bert-sgd (50%),0.1629,0.0269,0.1629,0.0462
ft:roberta-adam (50%),0.5152,0.5305,0.5152,0.5181
ft:roberta-adamw (50%),0.5497,0.5351,0.5497,0.5286
ft:roberta-sgd (50%),0.1642,0.027,0.1642,0.0463
